essay,organization,conventions,word_choice,sentence_fluency,voice,content
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",35.0,100.0,55.703703703703695,61.0,93.33333333333333,70.0074074074074
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",30.0,100.0,52.703703703703695,60.0,100.0,70.54074074074074
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",35.0,100.0,75.0,77.0,76.0,76.6
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration. um basically actually like,60.0,95.0,64.12903225806451,65.0,100.0,76.8258064516129
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",39.0,100.0,57.703703703703695,66.0,100.0,70.54074074074074
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end.,35.0,100.0,79.57142857142857,80.0,69.0,75.71428571428571
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,33.0,100.0,74.62962962962962,75.0,100.0,78.52592592592592
"this presentation, I am going to explain the Firstly, the architecture is modular. Secondly, the database MongoDB. However, we found scaling is hard. In conclusion, we succeeded.",57.0,100.0,80.62962962962962,77.0,90.22222222222223,81.97037037037038
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,35.0,95.0,80.62962962962962,83.0,100.0,80.72592592592592
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",40.0,97.0,49.703703703703695,63.0,100.0,71.94074074074074
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,35.0,96.0,84.62962962962962,77.0,100.0,76.52592592592592
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",35.0,100.0,79.77777777777777,80.0,100.0,78.95555555555555
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",36.0,100.0,51.703703703703695,60.0,100.0,70.54074074074074
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",85.0,100.0,75.125,83.0,84.75,86.575
"In this presentation, I going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, succeeded. um basically actually like",75.0,100.0,68.6470588235294,66.0,75.82352941176471,79.09411764705882
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,33.0,100.0,76.62962962962962,84.0,100.0,77.72592592592592
Our scalable technical architecture leverages distributed microservices. To implement we vectorized all text features using an TF-IDF matrix. The results demonstrate high performance.,38.0,100.0,79.16666666666667,85.0,89.0,77.23333333333333
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",40.0,100.0,52.703703703703695,63.0,99.33333333333333,74.0074074074074
"We thank our esteemed panel, your consideration. want to align this lecture with your expectations.",30.0,100.0,72.66666666666667,78.0,100.0,78.13333333333334
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded. um basically actually like",76.0,96.0,66.66666666666666,66.0,78.66666666666666,78.66666666666666
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",36.0,96.0,78.77777777777777,80.0,100.0,78.15555555555555
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",84.0,99.0,78.125,75.0,80.75,80.375
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",34.0,98.0,56.703703703703695,64.0,100.0,71.54074074074074
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",38.0,100.0,82.77777777777777,76.0,100.0,77.35555555555555
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",39.0,99.0,53.703703703703695,65.0,97.33333333333333,73.8074074074074
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",32.0,100.0,82.0,78.0,75.0,72.4
"Um, like, basically, you know, we built this app it's really cool. We did some things, kind of, and so it works. The end. um basically actually like",33.0,98.0,47.10344827586206,64.0,100.0,70.42068965517242
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",36.0,99.0,76.0,85.0,79.0,71.0
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",31.0,64.86956521739131,77.08695652173913,75.0,48.0,58.19130434782609
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",31.0,98.0,79.77777777777777,80.0,100.0,80.75555555555556
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",37.0,98.0,53.703703703703695,65.0,100.0,67.74074074074073
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here. um basically actually like",31.0,61.66666666666667,59.81481481481481,61.0,49.0,55.49629629629629
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",81.0,100.0,82.125,80.0,81.75,85.975
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations. um basically actually like",32.0,100.0,63.09090909090908,63.0,100.0,68.61818181818181
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end.,34.0,100.0,82.57142857142857,83.0,67.0,69.31428571428572
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,31.0,100.0,81.62962962962962,77.0,100.0,73.92592592592592
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end.,37.0,100.0,80.57142857142857,81.0,66.0,74.91428571428571
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",77.0,99.0,77.125,82.0,85.75,82.175
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",31.0,63.869565217391305,76.08695652173913,76.0,51.0,61.59130434782609
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",34.0,99.0,79.0,79.0,76.0,70.4
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,37.0,96.0,75.62962962962962,84.0,100.0,77.52592592592592
"In this presentation, I am going to explain the Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we that scaling is In conclusion, we succeeded.",55.0,100.0,73.58620689655172,84.0,81.6896551724138,77.8551724137931
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",75.0,100.0,83.125,77.0,85.75,82.175
We are absolutely delighted to you our corporate absolutely essential to join together to our future plans. We appreciate your consideration.,38.0,100.0,80.57142857142857,78.0,100.0,78.31428571428572
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",32.0,99.0,83.0,76.0,80.0,78.0
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",30.0,100.0,58.703703703703695,61.0,97.33333333333333,65.4074074074074
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,30.0,100.0,79.62962962962962,75.0,100.0,73.92592592592592
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,30.0,98.0,79.62962962962962,85.0,100.0,77.52592592592592
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",38.0,97.0,75.77777777777777,79.0,100.0,81.95555555555555
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,39.0,98.0,84.62962962962962,77.0,100.0,83.72592592592592
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration. um basically actually like,58.0,100.0,64.12903225806451,63.0,100.0,74.02580645161291
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",84.0,100.0,79.125,78.0,87.75,85.775
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",37.0,100.0,85.0,82.0,80.0,72.8
To achieve we keep sentences brief. Long sentences the message. Focus on verbs. Avoid passive phrasing. um basically actually like,38.0,99.0,59.0,65.0,84.0,69.0
"Our scalable technical architecture leverages distributed microservices. To implement this, we vectorized all text features using an offline TF-IDF matrix. The results demonstrate high performance.",32.0,99.0,71.92307692307692,84.0,88.07692307692308,76.0
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",30.0,96.0,79.0,76.0,80.0,76.2
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",33.0,98.0,77.77777777777777,85.0,100.0,78.75555555555556
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,37.0,100.0,79.62962962962962,77.0,100.0,78.72592592592592
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,40.0,100.0,80.62962962962962,79.0,100.0,75.92592592592592
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",37.0,96.0,51.703703703703695,70.0,99.33333333333333,74.8074074074074
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",82.0,100.0,73.125,79.0,86.75,86.175
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",31.0,98.0,82.0,76.0,77.0,72.8
The architecture is very disorganized. No agenda is present. Slides are cluttered. is no call to action at the end.,38.0,96.0,81.0,85.0,62.0,69.4
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",34.0,100.0,50.703703703703695,62.0,95.33333333333333,68.4074074074074
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end.,31.0,97.0,80.57142857142857,85.0,62.0,69.11428571428571
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",37.0,58.869565217391305,77.08695652173913,83.0,51.0,60.391304347826086
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,32.0,100.0,82.62962962962962,81.0,100.0,78.12592592592593
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",76.0,100.0,80.125,84.0,80.75,84.175
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",33.0,63.869565217391305,78.08695652173913,78.0,50.0,58.59130434782609
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",36.0,100.0,55.703703703703695,62.0,100.0,69.74074074074073
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",85.0,96.0,77.125,75.0,86.75,86.975
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end.,34.0,95.0,81.57142857142857,81.0,68.0,69.91428571428571
The is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at end.,40.0,100.0,81.3157894736842,84.0,60.0,71.06315789473685
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",76.0,95.0,78.125,81.0,78.75,84.775
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here. um basically actually like",36.0,69.66666666666667,68.81481481481481,66.0,45.0,54.096296296296295
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",79.0,98.0,76.125,84.0,82.75,79.975
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing. um basically actually like",35.0,96.0,59.50000000000001,66.0,76.5,68.6
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",35.0,100.0,51.703703703703695,70.0,100.0,74.34074074074074
"Our scalable technical architecture leverages distributed microservices. To implement this, we vectorized all text features using an offline TF-IDF matrix. The results demonstrate high performance.",40.0,100.0,77.92307692307692,84.0,90.07692307692308,74.4
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end.,40.0,96.0,81.57142857142857,75.0,69.0,73.31428571428572
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",85.0,100.0,80.125,85.0,85.75,87.175
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",80.0,100.0,75.125,79.0,78.75,79.575
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",37.0,100.0,81.77777777777777,81.0,100.0,75.95555555555555
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,33.0,100.0,75.62962962962962,76.0,100.0,74.92592592592592
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",76.0,95.0,78.125,85.0,88.75,85.575
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",33.0,61.869565217391305,74.08695652173913,82.0,50.0,58.19130434782609
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,33.0,100.0,80.62962962962962,77.0,100.0,82.12592592592593
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",33.0,100.0,55.703703703703695,62.0,93.33333333333333,68.8074074074074
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct Avoid passive phrasing.",34.0,100.0,80.3157894736842,80.0,77.78947368421052,74.42105263157895
The architecture is very disorganized. No agenda is present. Slides are cluttered. There no call to action at the end.,35.0,100.0,80.0,80.0,69.0,73.8
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end.,38.0,100.0,74.57142857142857,77.0,68.0,75.5142857142857
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",37.0,62.869565217391305,77.08695652173913,78.0,46.0,59.19130434782609
"Our scalable technical architecture leverages distributed microservices. To implement this, we vectorized all text features using an offline TF-IDF matrix. The results demonstrate high performance.",30.0,98.0,81.92307692307692,78.0,90.07692307692308,77.6
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded. um basically actually like",83.0,100.0,70.66666666666666,61.0,82.66666666666666,78.46666666666665
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,31.0,98.0,81.62962962962962,82.0,100.0,74.52592592592592
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",34.0,97.0,57.703703703703695,60.0,95.33333333333333,65.8074074074074
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",32.0,99.0,53.703703703703695,60.0,94.33333333333333,64.8074074074074
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",38.0,100.0,82.77777777777777,76.0,100.0,75.35555555555555
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",84.0,96.0,75.125,82.0,84.75,85.375
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing. um basically actually like",35.0,100.0,62.50000000000001,64.0,78.5,68.0
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end. um basically actually like,31.0,97.0,58.0,67.0,60.0,62.6
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",32.0,100.0,72.77777777777777,84.0,100.0,73.75555555555556
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",84.0,97.0,73.125,85.0,84.75,80.775
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",32.0,100.0,81.0,75.0,85.0,74.6
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end.,35.0,100.0,79.57142857142857,75.0,69.0,72.71428571428571
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",35.0,95.0,75.77777777777777,79.0,100.0,73.95555555555555
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",36.0,64.86956521739131,77.08695652173913,77.0,50.0,57.99130434782609
"In this presentation, I going explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, found that scaling is hard. In conclusion, we succeeded.",61.0,100.0,81.58620689655172,85.0,73.34482758620689,76.18620689655172
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,30.0,100.0,83.62962962962962,85.0,100.0,79.72592592592592
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",76.0,100.0,78.125,77.0,79.75,83.175
"Um, basically, know, we built this app and it's actually really cool. We some things, kind of, and so it works. end.",34.0,96.0,57.347826086956516,64.0,91.08695652173913,71.48695652173913
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",38.0,59.869565217391305,71.08695652173913,78.0,51.0,56.59130434782609
"Our scalable technical architecture leverages distributed microservices. To implement this, we vectorized all text features using an offline TF-IDF matrix. The results demonstrate high performance.",38.0,100.0,76.92307692307692,77.0,87.07692307692308,71.8
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",39.0,100.0,55.703703703703695,67.0,97.33333333333333,67.8074074074074
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",34.0,100.0,85.0,82.0,83.0,72.8
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",79.0,100.0,82.125,82.0,81.75,87.975
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end. um basically actually like,33.0,100.0,64.0,65.0,67.0,68.8
"We thank you, our panel, for your consideration. We want to this lecture with your expectations. um basically like",31.0,100.0,58.52631578947368,65.0,100.0,69.90526315789472
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",30.0,62.869565217391305,77.08695652173913,83.0,51.0,63.791304347826085
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",37.0,98.0,80.0,75.0,83.0,70.6
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,35.0,98.0,78.62962962962962,82.0,100.0,76.72592592592592
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",81.0,99.0,79.125,75.0,86.75,82.175
"Our scalable technical architecture leverages distributed microservices. To implement this, we vectorized all text features using an offline TF-IDF matrix. The results demonstrate high performance.",31.0,97.0,76.92307692307692,80.0,86.07692307692308,77.2
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",39.0,100.0,82.77777777777777,82.0,100.0,83.75555555555556
"We thank you, our esteemed panel, for your consideration. We want align this lecture with expectations. basically actually like",39.0,100.0,62.52631578947368,64.0,100.0,76.10526315789473
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",75.0,100.0,79.125,82.0,85.75,86.375
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",35.0,100.0,77.0,76.0,84.0,71.4
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end. um basically actually like,39.0,100.0,57.0,64.0,65.0,65.0
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",35.0,98.0,72.77777777777777,84.0,100.0,81.95555555555555
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",38.0,100.0,83.0,75.0,77.0,76.6
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,30.0,98.0,81.62962962962962,80.0,100.0,75.92592592592592
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,37.0,100.0,78.92592592592592,77.0,100.0,80.58518518518518
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here. um basically actually like",31.0,68.66666666666667,62.111111111111114,69.0,47.0,53.55555555555556
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The",34.0,96.0,51.846153846153854,69.0,98.61538461538461,69.8923076923077
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",30.0,99.0,58.703703703703695,70.0,95.33333333333333,74.60740740740741
"In this presentation, I am going explain the design. the architecture is modular. Secondly, the database on MongoDB. However, we found that scaling is In conclusion, succeeded. um basically like",75.0,95.0,63.66666666666667,63.0,79.0,73.13333333333334
We are absolutely delighted to welcome you to our corporate proposal. is absolutely essential to join together to achieve our future plans. We appreciate consideration.,35.0,100.0,73.0,84.0,100.0,81.4
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",35.0,100.0,90.88888888888889,81.0,100.0,84.37777777777778
Our scalable technical architecture leverages distributed microservices. To implement vectorized all text features using an offline TF-IDF matrix. The results demonstrate high performance.,35.0,97.0,77.0,75.0,74.5,68.7
are absolutely delighted to welcome you to our corporate It is absolutely essential to join together to achieve our plans. We appreciate your consideration.,35.0,99.0,68.83333333333334,76.0,100.0,71.76666666666668
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end. um basically actually like,40.0,99.0,56.0,60.0,66.0,61.2
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",35.0,61.869565217391305,78.43478260869566,83.0,55.0,61.660869565217396
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here. um basically actually like",33.0,65.66666666666667,58.111111111111114,67.0,49.0,53.55555555555556
"We thank you, our esteemed panel, for your consideration. We want to align this lecture with your expectations.",33.0,100.0,92.88888888888889,76.0,100.0,76.37777777777778
"This project has several errors. The database fail. The API is wrong. Punctuation , is bad . Spelling errrors are present. Duplicate duplicate words here.",32.0,56.869565217391305,75.43478260869566,77.0,50.0,62.2608695652174
"Um, like, basically, you know, we built this app and it's actually really cool. We did some things, kind of, and so it works. The end.",36.0,100.0,57.703703703703695,65.0,100.0,69.74074074074073
"In this presentation, I am going to explain the design. Firstly, the architecture is modular. Secondly, the database runs on MongoDB. However, we found that scaling is hard. In conclusion, we succeeded.",77.0,100.0,75.125,76.0,86.75,82.975
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing.",37.0,100.0,91.0,83.0,83.0,81.8
"To achieve clarity, we must keep sentences brief. Long sentences clutter the message. Focus on direct verbs. Avoid passive phrasing. um basically actually like",40.0,100.0,66.66666666666666,61.0,78.5,73.23333333333332
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration. um basically actually like,57.0,100.0,57.677419354838705,65.0,100.0,76.93548387096774
"Our scalable technical architecture leverages distributed microservices. To implement this, we vectorized all text features using an offline TF-IDF matrix. The results demonstrate high performance.",32.0,98.0,77.76923076923077,76.0,83.07692307692308,74.36923076923077
We are absolutely delighted to welcome you to our corporate proposal. It is absolutely essential to join together to achieve our future plans. We appreciate your consideration.,38.0,100.0,73.92592592592592,79.0,100.0,74.18518518518519
"Our scalable technical architecture leverages distributed microservices. To implement this, we vectorized all text features using an offline TF-IDF matrix. The results demonstrate high performance. um basically actually like",50.0,100.0,68.33333333333334,63.0,87.0,71.66666666666667
The architecture is very disorganized. No agenda is present. Slides are cluttered. There is no call to action at the end.,30.0,100.0,76.57142857142857,80.0,68.0,72.91428571428571
